city,longitude,latitude,temperature,humidity,skycon,wind_speed,wind_direction,wind_direction2
青岛,120.33,36.07,5.91,0.44,多云,9.78,315.75,西北
济南,117.00,36.65,3.1,0.62,晴天,3.45,263.3,西
烟台,121.39,37.52,3.89,0.52,晴天,17.43,262.86,西
泰安,117.13,36.18,0.27,0.85,轻度雾霾,5.52,322.29,西北
枣庄,117.57,34.86,4.56,0.81,中度雾霾,5.53,264.25,西
东营,118.49,37.46,3.25,0.57,晴天,7.57,272.21,西
潍坊,119.10,36.62,2.05,0.71,晴天,7.24,271.71,西
滨州,118.03,37.36,-1.49,0.79,晴天,7.91,266.43,西
淄博,118.05,36.78,-1.59,0.83,轻度雾霾,5.32,239.29,西南
聊城,115.97,36.45,2.42,0.93,重度雾霾,1.99,297.31,西北
威海,122.10,37.51,4.62,0.46,多云,31.93,295.32,西北
济宁,116.59,36.38,2.49,0.84,轻度雾霾,0.75,304.68,西北
德州,116.29,37.45,2.31,0.88,轻度雾霾,6.16,251.92,西
临沂,118.35,35.05,5.94,0.68,雾,9.21,253.33,西
日照,119.46,35.42,6.79,0.53,多云,6.36,280.7,西
菏泽,115.43,35.24,4.2,0.93,中度雾霾,5.21,209.63,西南
