city,longitude,latitude,temperature,humidity,skycon,wind_speed,wind_direction,wind_direction2,pressure,apparent_temperature,pm25,aqi,aircondition
济南,117.00,36.65,3.92,0.55,多云,4.31,57.82,东北,100987.812,1.5,63,85,良
淄博,118.05,36.78,0.01,0.71,晴天,0.5,160.4,南,101159.976,-1.9,67,90,良
日照,119.46,35.42,7.49,0.54,轻度雾霾,9.71,352.59,北,101890.161,4.5,107,140,轻度污染
东营,118.49,37.46,4.15,0.53,晴天,7.97,342.43,北,102262.399,1,65,88,良
潍坊,119.10,36.62,4.75,0.43,晴天,5.26,336.26,西北,101525.936,2,60,82,良
枣庄,117.57,34.86,3.26,0.88,雾,4.05,321.36,西北,100914.428,1.3,181,231,重度污染
滨州,118.03,37.36,-0.09,0.72,晴天,8.2,21.44,北,102232.117,-3.4,66,89,良
济宁,116.59,35.38,4.5,0.89,雾,3.44,228.14,西南,101871.846,2.9,136,180,中度污染
菏泽,115.43,35.24,3.7,0.95,雾,6.9,224.11,西南,101709.201,1.4,189,239,重度污染
烟台,121.39,37.52,5.49,0.61,多云,25.42,306.21,西北,101745.638,-0.5,31,50,优
威海,122.10,37.51,6.12,0.59,小雨,33.49,307.66,西北,101777.788,-1.3,12,33,优
聊城,115.97,36.45,3.52,0.73,轻度雾霾,3.89,321.61,西北,101924.019,1.4,99,130,轻度污染
德州,116.29,37.45,2.41,0.64,晴天,8.99,86.01,东,102079.65,-0.9,46,76,良
青岛,120.33,36.07,7.21,0.55,轻度雾霾,10.41,343.56,北,102097.655,4,76,102,轻度污染
临沂,118.35,35.05,6.34,0.76,雾,9.89,329.97,西北,101459.57,3.6,162,212,重度污染
泰安,117.13,36.18,3.07,0.37,阴天,2.48,2.66,北,99527.293,0.6,52,74,良
