city,lng,lat,temperature,humidity,skycon,wind_speed,wind_direction,wind_direction2,pressure,apparent_temperature,pm25,aqi,aircondition
烟台,121.39,37.52,1.49,0.6,晴天,24.96,355.97,北,102650.838,-4.8,17,29,优
枣庄,117.57,34.86,0.86,0.69,晴天,11.28,53.08,东北,101421.829,-2.9,63,85,良
淄博,118.05,36.78,2.01,0.63,晴天,6.42,98.28,东,102013.189,-0.9,23,45,优
济南,117.00,36.65,1.8,0.63,晴天,7.5,92.53,东,101810.785,-1.3,28,56,良
济宁,116.59,35.38,3.1,0.63,晴天,8.94,43.01,东北,102633.91,-0.1,55,75,良
潍坊,119.10,36.62,0.45,0.68,晴天,7.59,20.27,北,102344.338,-2.7,13,33,优
青岛,120.33,36.07,2.81,0.45,晴天,20.2,18.3,北,102857.495,-2.8,18,43,优
滨州,118.03,37.36,-3.09,0.8,晴天,7.4,104.66,东,103125.795,-6.5,27,46,优
德州,116.29,37.45,1.61,0.8,晴天,8.64,108.37,东,102943.709,-1.5,42,71,良
日照,119.46,35.42,4.29,0.51,晴天,17,1.8,北,102623.104,-0.5,30,51,良
威海,122.10,37.51,1.12,0.6,晴天,30.44,347.22,北,102696.288,-6.2,14,23,优
东营,118.49,37.46,0.45,0.72,晴天,5.39,62.65,东北,103147.339,-2.3,15,41,优
菏泽,115.43,35.24,2.8,0.67,晴天,9.97,27.03,东北,102482.419,-0.6,67,90,良
泰安,117.13,36.18,0.67,0.63,晴天,6.61,62.05,东北,100320.687,-2.4,41,58,良
临沂,118.35,35.05,3.64,0.56,晴天,17.31,23.61,东北,102188.842,-1.2,48,67,良
聊城,115.97,36.45,3.02,0.55,晴天,7.56,65.41,东北,102766.906,-0.1,38,62,良
