lng,lat,temperature,wind_speed,wind_direction,humidity,aqi,start_lng,start_lat,end_lng,end_lat
117.17,34.44,1.69,4.96,103.24,0.68,108.59,117.36,34.49,116.98,34.39
118.22,34.44,1.69,21.02,72.83,0.61,87.94,119.02,34.19,117.42,34.69
118.3,34.44,1.69,22.24,72.45,0.61,86.36,119.15,34.17,117.45,34.71
118.38,34.44,1.69,23.41,72.51,0.6,84.85,119.27,34.16,117.49,34.72
117.17,34.53,1.69,5.9,94.96,0.68,104.67,117.41,34.55,116.93,34.51
117.25,34.53,1.69,6.75,92.13,0.69,103.43,117.52,34.54,116.98,34.52
117.49,34.53,1.68,9.76,83.36,0.69,99.32,117.88,34.48,117.1,34.58
117.57,34.53,1.68,10.88,80.5,0.69,97.83,118.0,34.46,117.14,34.6
117.65,34.53,1.68,12.06,77.74,0.68,96.3,118.12,34.43,117.18,34.63
118.22,34.53,1.69,20.65,64.77,0.61,85.07,118.97,34.18,117.47,34.88
118.3,34.53,1.69,21.78,64.22,0.6,83.55,119.08,34.15,117.52,34.91
118.38,34.53,1.69,22.87,64.09,0.59,82.1,119.2,34.13,117.56,34.93
115.55,34.61,1.69,4.23,46.61,0.65,119.89,115.67,34.49,115.43,34.73
115.63,34.61,1.69,4.37,56.17,0.65,118.38,115.78,34.51,115.48,34.71
115.71,34.61,1.69,4.42,64.66,0.65,117.01,115.87,34.53,115.55,34.69
115.79,34.61,1.69,4.4,72.11,0.65,115.77,115.96,34.56,115.62,34.66
115.87,34.61,1.69,4.33,78.56,0.65,114.64,116.04,34.58,115.7,34.64
115.95,34.61,1.69,4.23,84.06,0.64,113.62,116.12,34.59,115.78,34.63
116.04,34.61,1.69,4.1,88.66,0.64,112.68,116.2,34.61,115.88,34.61
116.12,34.61,1.69,3.96,92.39,0.64,111.81,116.28,34.62,115.96,34.6
116.2,34.61,1.69,3.83,95.32,0.64,111.0,116.35,34.62,116.05,34.6
116.28,34.61,1.69,3.72,97.5,0.64,110.23,116.43,34.63,116.13,34.59
117.17,34.61,1.69,6.68,86.97,0.69,100.9,117.44,34.6,116.9,34.62
117.25,34.61,1.69,7.43,84.25,0.69,99.74,117.55,34.58,116.95,34.64
117.33,34.61,1.68,8.27,81.45,0.69,98.52,117.66,34.56,117.0,34.66
117.41,34.61,1.66,9.17,78.61,0.69,97.24,117.77,34.54,117.05,34.68
117.49,34.61,1.63,10.14,75.79,0.69,95.89,117.88,34.51,117.1,34.71
117.57,34.61,1.62,11.17,73.01,0.69,94.49,118.0,34.48,117.14,34.74
117.65,34.61,1.63,12.24,70.33,0.68,93.04,118.11,34.45,117.19,34.77
117.73,34.61,1.66,13.35,67.77,0.67,91.54,118.22,34.41,117.24,34.81
118.14,34.61,1.69,19.07,58.17,0.62,83.81,118.79,34.21,117.49,35.01
118.22,34.61,1.69,20.17,57.12,0.6,82.3,118.9,34.17,117.54,35.05
118.3,34.61,1.69,21.22,56.42,0.59,80.83,119.01,34.14,117.59,35.08
118.38,34.61,1.69,22.22,56.09,0.59,79.43,119.12,34.11,117.64,35.11
115.47,34.69,1.69,5.44,34.24,0.66,116.62,115.59,34.51,115.35,34.87
115.55,34.69,1.69,5.7,44.02,0.66,114.98,115.71,34.53,115.39,34.85
115.63,34.69,1.69,5.85,52.75,0.66,113.49,115.82,34.55,115.44,34.83
115.71,34.69,1.69,5.9,60.48,0.65,112.15,115.92,34.57,115.5,34.81
115.79,34.69,1.69,5.88,67.25,0.65,110.95,116.01,34.6,115.57,34.78
115.87,34.69,1.69,5.8,73.09,0.65,109.86,116.09,34.62,115.65,34.76
115.95,34.69,1.69,5.68,78.05,0.65,108.89,116.17,34.64,115.73,34.74
116.04,34.69,1.69,5.53,82.17,0.64,108.0,116.26,34.66,115.82,34.72
116.12,34.69,1.69,5.37,85.5,0.64,107.19,116.33,34.67,115.91,34.71
116.2,34.69,1.69,5.21,88.09,0.64,106.44,116.41,34.68,115.99,34.7
116.28,34.69,1.69,5.07,89.98,0.64,105.73,116.48,34.69,116.08,34.69
116.36,34.69,1.69,4.95,91.23,0.64,105.05,116.56,34.69,116.16,34.69
117.09,34.69,1.69,6.71,81.81,0.68,98.27,117.36,34.65,116.82,34.73
117.17,34.69,1.69,7.3,79.33,0.69,97.27,117.46,34.64,116.88,34.74
117.25,34.69,1.68,7.97,76.74,0.69,96.2,117.56,34.62,116.94,34.76
117.33,34.69,1.66,8.71,74.07,0.7,95.06,117.67,34.59,116.99,34.79
117.41,34.69,1.59,9.52,71.36,0.7,93.86,117.77,34.57,117.05,34.81
117.49,34.69,1.49,10.4,68.65,0.69,92.6,117.88,34.54,117.1,34.84
117.57,34.69,1.43,11.33,65.97,0.69,91.27,117.98,34.51,117.16,34.87
117.65,34.69,1.49,12.3,63.37,0.68,89.9,118.09,34.47,117.21,34.91
117.73,34.69,1.59,13.32,60.87,0.67,88.48,118.2,34.43,117.26,34.95
117.81,34.69,1.66,14.36,58.51,0.66,87.02,118.3,34.39,117.32,34.99
117.89,34.69,1.68,15.42,56.33,0.65,85.55,118.4,34.35,117.38,35.03
117.97,34.69,1.69,16.48,54.36,0.64,84.05,118.51,34.31,117.43,35.07
118.06,34.69,1.69,17.53,52.62,0.62,82.56,118.62,34.26,117.5,35.12
118.14,34.69,1.69,18.57,51.15,0.61,81.08,118.72,34.22,117.56,35.16
118.22,34.69,1.7,19.59,49.97,0.6,79.63,118.82,34.19,117.62,35.19
118.3,34.69,1.7,20.56,49.11,0.59,78.21,118.92,34.15,117.68,35.23
118.38,34.69,1.71,21.49,48.59,0.58,76.85,119.02,34.12,117.74,35.26
118.46,34.69,1.7,22.36,48.45,0.57,75.57,119.13,34.1,117.79,35.28
118.7,34.69,1.69,24.56,50.41,0.56,72.27,119.46,34.06,117.94,35.32
115.47,34.77,1.69,6.69,32.68,0.66,111.89,115.61,34.54,115.33,35.0
115.55,34.77,1.69,6.96,41.56,0.66,110.27,115.73,34.56,115.37,34.98
115.63,34.77,1.69,7.12,49.48,0.66,108.81,115.85,34.58,115.41,34.96
115.71,34.77,1.69,7.18,56.46,0.66,107.5,115.95,34.61,115.47,34.93
115.79,34.77,1.69,7.16,62.55,0.65,106.33,116.04,34.64,115.54,34.9
115.87,34.77,1.69,7.07,67.78,0.65,105.29,116.13,34.66,115.61,34.88
115.95,34.77,1.69,6.94,72.21,0.65,104.35,116.21,34.69,115.69,34.85
116.04,34.77,1.69,6.77,75.87,0.64,103.51,116.3,34.7,115.78,34.84
116.12,34.77,1.69,6.59,78.81,0.64,102.76,116.38,34.72,115.86,34.82
116.2,34.77,1.69,6.4,81.07,0.64,102.06,116.45,34.73,115.95,34.81
116.28,34.77,1.69,6.23,82.7,0.64,101.42,116.53,34.74,116.03,34.8
116.36,34.77,1.69,6.08,83.75,0.64,100.81,116.6,34.74,116.12,34.8
117.01,34.77,1.69,6.84,76.66,0.68,95.56,117.28,34.71,116.74,34.83
117.09,34.77,1.69,7.27,74.48,0.68,94.71,117.37,34.69,116.81,34.85
117.17,34.77,1.69,7.78,72.15,0.69,93.79,117.47,34.67,116.87,34.87
117.25,34.77,1.68,8.36,69.71,0.69,92.8,117.56,34.65,116.94,34.89
117.33,34.77,1.62,9.02,67.18,0.7,91.75,117.66,34.63,117.0,34.91
117.41,34.77,1.47,9.74,64.6,0.7,90.62,117.76,34.6,117.06,34.94
117.49,34.77,1.26,10.53,62.02,0.7,89.44,117.86,34.57,117.12,34.97
