"longitude","latitude","temperature","apparent_temperature","humidity","skycon","air_quality_aqi","air_quality_pm25","wind_start_longitude","wind_start_latitude","wind_end_longitude","wind_end_latitude"
"118.3091","36.0404",7.43,5,0.53,"LIGHT_HAZE",107,81,"118.3091","36.0404","118.2447","35.8704"
"118.0128","36.0404",6.83,4.4,0.53,"LIGHT_HAZE",107,81,"118.0128","36.0404","118.0826","35.8765"
"117.0747","36.0404",6.45,3.9,0.66,"CLOUDY",75,55,"117.0747","36.0404","117.2720","35.9185"
"117.6178","36.0404",9.28,6.5,0.42,"LIGHT_HAZE",107,81,"117.6178","36.0404","117.7643","35.8432"
"118.3584","36.0404",7.43,5,0.53,"LIGHT_HAZE",107,81,"118.3584","36.0404","118.3004","35.8662"
"117.2228","36.0404",6.15,3.4,0.66,"CLOUDY",75,55,"117.2228","36.0404","117.4291","35.8906"
"117.8647","36.0404",6.54,3.9,0.54,"LIGHT_HAZE",107,81,"117.8647","36.0404","117.9841","35.8765"
"118.5559","36.0404",8.33,5.6,0.44,"LIGHT_HAZE",107,81,"118.5559","36.0404","118.4858","35.8358"
"120.1359","36.0404",12.26,9.8,0.59,"FOG",59,37,"120.1359","36.0404","120.0235","35.7487"
"118.2597","36.0404",7.73,5.4,0.53,"LIGHT_HAZE",107,81,"118.2597","36.0404","118.1897","35.8791"
"119.0003","36.0404",8.89,5.7,0.43,"FOG",71,50,"119.0003","36.0404","118.8212","35.7904"
"117.5191","36.0404",9.58,6.7,0.42,"LIGHT_HAZE",106,80,"117.5191","36.0404","117.6596","35.8151"
"117.7166","36.0404",6.24,3.4,0.54,"LIGHT_HAZE",107,81,"117.7166","36.0404","117.8692","35.8714"
"117.1241","36.0877",6.15,3.6,0.66,"CLOUDY",75,55,"117.1241","36.0877","117.3006","35.9536"
"118.4078","36.0404",8.03,5.6,0.53,"LIGHT_HAZE",107,81,"118.4078","36.0404","118.3483","35.8588"
"119.8397","36.0404",10.81,8.3,0.59,"FOG",65,39,"119.8397","36.0404","119.8078","35.7442"
"120.4816","36.0404",9.32,5.6,0.64,"CLOUDY",53,26,"120.4816","36.0404","120.1778","35.6580"
"119.1978","36.0404",10.05,7.1,0.48,"FOG",71,50,"119.1978","36.0404","119.0466","35.7692"
"118.5066","36.0404",8.33,5.7,0.44,"LIGHT_HAZE",107,81,"118.5066","36.0404","118.4497","35.8461"
"117.5684","36.0404",9.58,6.7,0.42,"LIGHT_HAZE",106,80,"117.5684","36.0404","117.7182","35.8241"
"117.8647","36.0877",8.98,6.4,0.42,"LIGHT_HAZE",107,81,"117.8647","36.0877","117.9808","35.9156"
"118.0622","36.0404",6.83,4.4,0.53,"LIGHT_HAZE",107,81,"118.0622","36.0404","118.1030","35.8734"
"119.0991","36.0404",9.49,6.4,0.43,"FOG",71,50,"119.0991","36.0404","118.9254","35.7910"
"117.0747","36.0877",6.15,3.6,0.66,"CLOUDY",75,55,"117.0747","36.0877","117.2693","35.9678"
"117.7659","36.0404",6.24,3.5,0.54,"LIGHT_HAZE",107,81,"117.7659","36.0404","117.9155","35.8804"
"117.2722","36.0404",3.45,0.4,0.66,"CLOUDY",75,55,"117.2722","36.0404","117.4656","35.8779"
"117.4697","36.0404",9.58,6.7,0.42,"LIGHT_HAZE",106,80,"117.4697","36.0404","117.6194","35.8182"
"117.4203","36.0877",5.85,3.1,0.66,"LIGHT_HAZE",106,80,"117.4203","36.0877","117.5686","35.8788"
"118.1116","36.0404",6.23,3.8,0.53,"LIGHT_HAZE",107,81,"118.1116","36.0404","118.1232","35.8752"
"118.0622","36.0877",7.43,5,0.53,"LIGHT_HAZE",107,81,"118.0622","36.0877","118.0969","35.9108"
"119.1484","36.0404",9.75,6.7,0.48,"FOG",71,50,"119.1484","36.0404","118.9853","35.7801"
"118.9016","36.0404",7.67,4.4,0.44,"FOG",71,50,"118.9016","36.0404","118.7382","35.7924"
"119.4941","36.0404",10.05,7.2,0.48,"FOG",65,39,"119.4941","36.0404","119.4497","35.7631"
"120.0866","36.0404",10.51,8,0.59,"FOG",59,37,"120.0866","36.0404","120.0040","35.7686"
"117.3216","36.0404",7.54,5,0.66,"CLOUDY",71,45,"117.3216","36.0404","117.5033","35.8632"
"119.7903","36.0404",10.05,7,0.48,"CLOUDY",65,39,"119.7903","36.0404","119.7518","35.7172"
"119.2472","36.0404",10.05,7.1,0.48,"FOG",71,50,"119.2472","36.0404","119.1046","35.7622"
"120.3828","36.0404",12.86,9.8,0.59,"CLOUDY",52,23,"120.3828","36.0404","120.1338","35.6800"
"118.7041","36.0877",8.33,5.3,0.44,"FOG",71,50,"118.7041","36.0877","118.5791","35.8433"
"117.1241","36.0404",6.15,3.5,0.66,"CLOUDY",75,55,"117.1241","36.0404","117.3292","35.9174"
"118.7041","36.0404",8.63,5.7,0.44,"FOG",71,50,"118.7041","36.0404","118.5884","35.8081"
"119.9878","36.0404",11.11,9,0.59,"FOG",65,39,"119.9878","36.0404","119.9712","35.8112"
"118.6547","36.0404",8.63,5.8,0.44,"FOG",71,50,"118.6547","36.0404","118.5507","35.8185"
"117.1734","36.0877",6.15,3.6,0.66,"CLOUDY",75,55,"117.1734","36.0877","117.3446","35.9459"
"118.1116","36.0877",6.53,4.1,0.53,"LIGHT_HAZE",107,81,"118.1116","36.0877","118.1183","35.9141"
"119.5928","36.0404",10.05,7.2,0.48,"FOG",65,39,"119.5928","36.0404","119.5640","35.7487"
"120.1853","36.0404",12.86,10.3,0.59,"CLOUDY",59,37,"120.1853","36.0404","120.0346","35.7237"
"117.5191","36.0877",8.98,6,0.42,"LIGHT_HAZE",106,80,"117.5191","36.0877","117.6483","35.8644"
"120.5803","36.0404",9.32,5.2,0.64,"CLOUDY",53,26,"120.5803","36.0404","120.2222","35.6379"
"120.9753","36.0877",9.32,4.4,0.64,"CLOUDY",38,24,"120.9753","36.0877","120.5224","35.5856"
"117.1734","36.0404",6.15,3.5,0.66,"CLOUDY",75,55,"117.1734","36.0404","117.3791","35.9039"
"117.8153","36.0877",7.23,4.4,0.42,"LIGHT_HAZE",107,81,"117.8153","36.0877","117.9508","35.9233"
"118.6547","36.0877",8.33,5.3,0.44,"FOG",71,50,"118.6547","36.0877","118.5484","35.8470"
"119.8891","36.0404",11.11,8.7,0.59,"FOG",65,39,"119.8891","36.0404","119.8588","35.7525"
"118.2103","36.0404",6.83,4.4,0.53,"LIGHT_HAZE",107,81,"118.2103","36.0404","118.1632","35.8788"
"120.0372","36.0404",11.11,8.9,0.59,"FOG",59,37,"120.0372","36.0404","119.9978","35.7909"
"119.0003","36.135",8.18,4.9,0.44,"FOG",71,50,"119.0003","36.135","118.8410","35.8615"
"117.8153","36.0404",6.84,4.2,0.54,"LIGHT_HAZE",107,81,"117.8153","36.0404","117.9497","35.8786"
"119.9384","36.0404",10.51,8.2,0.59,"FOG",65,39,"119.9384","36.0404","119.9147","35.7823"
"117.3216","36.0877",11.74,10,0.66,"CLOUDY",71,45,"117.3216","36.0877","117.4760","35.9195"
"120.4322","36.0404",12.86,9.6,0.59,"CLOUDY",52,23,"120.4322","36.0404","120.1518","35.6657"
"119.2472","36.135",9.75,6.6,0.48,"CLOUDY",71,50,"119.2472","36.135","119.1095","35.8262"
"120.4322","36.135",9.32,6.6,0.64,"FOG",66,39,"120.4322","36.135","120.2911","35.8527"
"119.9878","36.0877",11.11,8.9,0.59,"FOG",65,39,"119.9878","36.0877","119.9638","35.8293"
"119.2966","36.135",10.05,6.9,0.48,"CLOUDY",71,50,"119.2966","36.135","119.1748","35.8280"
"120.8272","36.0404",9.32,4.6,0.64,"CLOUDY",38,24,"120.8272","36.0404","120.3707","35.5796"
"117.6178","36.0877",8.98,6.1,0.42,"LIGHT_HAZE",106,80,"117.6178","36.0877","117.7585","35.8892"
"119.3459","36.0877",10.05,7.1,0.48,"FOG",65,39,"119.3459","36.0877","119.2480","35.8041"
"119.8891","36.0877",11.11,8.7,0.59,"FOG",65,39,"119.8891","36.0877","119.8596","35.8030"
"118.5559","36.0877",7.13,4.4,0.53,"LIGHT_HAZE",107,81,"118.5559","36.0877","118.4769","35.8659"
"119.4447","36.0877",5.28,1.8,0.48,"FOG",65,39,"119.4447","36.0877","119.3703","35.7980"
"118.4572","36.0404",7.73,5.3,0.53,"LIGHT_HAZE",107,81,"118.4572","36.0404","118.4058","35.8511"
"118.8028","36.0877",8.33,5.2,0.44,"FOG",71,50,"118.8028","36.0877","118.6621","35.8285"
"120.5309","36.0877",9.68,6.4,0.64,"CLOUDY",53,26,"120.5309","36.0877","120.2908","35.7523"
"120.2347","36.0404",12.86,10.2,0.59,"CLOUDY",59,37,"120.2347","36.0404","120.0689","35.7124"
"117.4203","36.0404",5.25,2.3,0.66,"PARTLY_CLOUDY_NIGHT",71,45,"117.4203","36.0404","117.5927","35.8385"
"118.9509","36.0404",8.27,5,0.43,"FOG",71,50,"118.9509","36.0404","118.7756","35.7940"
"118.8522","36.135",8.18,4.9,0.44,"FOG",71,50,"118.8522","36.135","118.7069","35.8596"
"117.5191","36.135",8.08,5.1,0.42,"LIGHT_HAZE",106,80,"117.5191","36.135","117.6378","35.9131"
"117.1241","36.135",5.07,2.4,0.66,"CLOUDY",75,55,"117.1241","36.135","117.2916","35.9991"
"119.8397","36.0877",11.11,8.5,0.59,"FOG",65,39,"119.8397","36.0877","119.8053","35.7785"
"120.7778","36.0877",9.32,4.9,0.64,"CLOUDY",38,24,"120.7778","36.0877","120.3529","35.6696"
"118.6547","36.135",9.6,6.5,0.4,"FOG",71,50,"118.6547","36.135","118.5378","35.8774"
"120.6791","36.0877",9.32,5.3,0.64,"CLOUDY",38,24,"120.6791","36.0877","120.3092","35.7005"
"118.9016","36.0877",7.67,4.4,0.44,"FOG",71,50,"118.9016","36.0877","118.7461","35.8280"
"120.2841","36.135",12.86,10.5,0.59,"FOG",58,37,"120.2841","36.135","120.1598","35.8446"
"117.1734","36.1824",5.07,2.6,0.66,"CLOUDY",71,45,"117.1734","36.1824","117.2959","36.0365"
"119.9384","36.135",11.11,8.7,0.59,"FOG",59,37,"119.9384","36.135","119.9090","35.8557"
"118.8522","36.0404",8.03,4.9,0.44,"FOG",71,50,"118.8522","36.0404","118.7014","35.7972"
"119.0003","36.0877",7.88,4.6,0.44,"FOG",71,50,"119.0003","36.0877","118.8300","35.8273"
"119.5928","36.135",10.05,7.1,0.48,"FOG",65,39,"119.5928","36.135","119.5430","35.8276"
"118.8522","36.0877",8.33,5.1,0.44,"FOG",71,50,"118.8522","36.0877","118.7040","35.8282"
"119.4447","36.135",4.98,1.5,0.48,"FOG",65,39,"119.4447","36.135","119.3720","35.8430"
"119.7409","36.135",10.81,8.1,0.59,"CLOUDY",65,39,"119.7409","36.135","119.7038","35.8080"
"118.3584","36.135",3.76,0.8,0.53,"FOG",107,81,"118.3584","36.135","118.2894","35.9436"
"120.3828","36.135",12.86,10.3,0.59,"CLOUDY",58,37,"120.3828","36.135","120.2174","35.8261"
"119.7903","36.0877",11.11,8.5,0.59,"FOG",65,39,"119.7903","36.0877","119.7537","35.7691"
"117.4203","36.135",5.85,3.2,0.66,"CLOUDY",66,48,"117.4203","36.135","117.5397","35.9327"
"117.6178","36.135",8.98,6.1,0.42,"LIGHT_HAZE",106,80,"117.6178","36.135","117.7532","35.9340"
"120.5309","36.135",9.38,6.2,0.64,"CLOUDY",53,26,"120.5309","36.135","120.3064","35.8172"
"119.5434","36.135",5.89,2.5,0.48,"FOG",65,39,"119.5434","36.135","119.4987","35.8390"
"118.4572","36.135",6.83,4.1,0.53,"FOG",70,48,"118.4572","36.135","118.3832","35.9168"
"120.5309","36.0404",9.32,5.4,0.64,"CLOUDY",53,26,"120.5309","36.0404","120.2009","35.6484"
"120.8766","36.0877",9.32,4.7,0.64,"CLOUDY",38,24,"120.8766","36.0877","120.4376","35.6275"
"118.6547","36.1824",7.5,4.1,0.4,"FOG",71,50,"118.6547","36.1824","118.5365","35.9063"
"118.1609","36.0404",6.83,4.5,0.53,"LIGHT_HAZE",107,81,"118.1609","36.0404","118.1431","35.8770"
"120.5309","36.1824",8.72,6.1,0.64,"FOG",66,39,"120.5309","36.1824","120.4011","35.9246"
"117.3216","36.135",6.15,3.6,0.66,"CLOUDY",66,48,"117.3216","36.135","117.4548","35.9623"
"120.7778","36.1824",9.32,5.4,0.64,"CLOUDY",38,24,"120.7778","36.1824","120.4138","35.8213"
"117.1241","36.2297",5.64,3.1,0.57,"CLOUDY",71,45,"117.1241","36.2297","117.2318","36.0802"
"119.3459","36.1824",10.05,6.9,0.48,"CLOUDY",71,50,"119.3459","36.1824","119.2236","35.8598"
"119.3953","36.1824",10.35,7.3,0.48,"CLOUDY",71,50,"119.3953","36.1824","119.2925","35.8685"
"119.3953","36.0404",10.05,7.2,0.48,"FOG",65,39,"119.3953","36.0404","119.3247","35.7640"
"120.8272","36.1824",9.32,5.2,0.64,"CLOUDY",38,24,"120.8272","36.1824","120.4445","35.7867"
"117.9141","36.2297",8.38,5.6,0.42,"FOG",107,81,"117.9141","36.2297","117.9984","36.0263"
"117.9141","36.1824",7.78,5,0.42,"FOG",107,81,"117.9141","36.1824","118.0034","35.9884"
"118.3584","36.2297",7.43,4.7,0.53,"FOG",70,48,"118.3584","36.2297","118.2747","36.0154"
"117.3709","36.0404",3.45,0.4,0.66,"PARTLY_CLOUDY_NIGHT",71,45,"117.3709","36.0404","117.5409","35.8483"
"118.2597","36.1824",7.73,5.3,0.53,"FOG",107,81,"118.2597","36.1824","118.1852","36.0035"
