"city","longitude","latitude","temperature","humidity","skycon","wind_speed","wind_direction","wind_start_longitude","wind_start_latitude","wind_end_longitude","wind_end_latitude"
"威海","122.10","37.51",6,"45%","clearnight",4,"NW","122.10","37.51","121.8172","37.7928"
"枣庄","117.57","34.86",6,"55%","cloudynight",2,"W","117.57","34.86","117.3700","34.8600"
"济南","117.00","36.65",7,"42%","mcloudynight",2,"NW","117.00","36.65","116.8586","36.7914"
"德州","116.29","37.45",5,"45%","clearnight",2,"NW","116.29","37.45","116.1486","37.5914"
"菏泽","115.43","35.24",8,"51%","cloudyday",2,"W","115.43","35.24","115.2300","35.2400"
"烟台","121.39","37.52",5,"46%","clearnight",3,"W","121.39","37.52","121.0900","37.5200"
"淄博","118.05","36.78",5,"39%","pcloudynight",2,"N","118.05","36.78","118.0500","36.9800"
"临沂","118.35","35.05",5,"47%","cloudynight",2,"SW","118.35","35.05","118.2086","34.9086"
"滨州","118.03","37.36",5,"31%","clearnight",2,"W","118.03","37.36","117.8300","37.3600"
"泰安","117.13","36.18",5,"44%","mcloudynight",2,"NW","117.13","36.18","116.9886","36.3214"
"潍坊","119.10","36.62",4,"36%","pcloudynight",2,"NW","119.10","36.62","118.9586","36.7614"
"济宁","116.59","36.38",6,"38%","mcloudynight",2,"N","116.59","36.38","116.5900","36.5800"
"东营","118.49","37.46",5,"25%","clearnight",2,"W","118.49","37.46","118.2900","37.4600"
"青岛","120.33","36.07",7,"36%","pcloudynight",3,"NW","120.33","36.07","120.1179","36.2821"
"日照","119.46","35.42",5,"40%","cloudynight",2,"NW","119.46","35.42","119.3186","35.5614"
"聊城","115.97","36.45",7,"44%","mcloudyday",2,"NW","115.97","36.45","115.8286","36.5914"
