longitude,latitude,temperature
114.48,34.23,
114.58,34.23,
114.68,34.23,
114.78,34.23,
114.88,34.23,
114.98,34.23,
115.08,34.23,
115.18,34.23,
115.28,34.23,
115.38,34.23,
115.49,34.23,
115.59,34.23,
115.69,34.23,
115.79,34.23,
115.89,34.23,
115.99,34.23,
116.09,34.23,
116.19,34.23,
116.29,34.23,
116.39,34.23,
116.49,34.23,
116.59,34.23,
116.69,34.23,
116.79,34.23,
116.89,34.23,
116.99,34.23,
117.09,34.23,
117.19,34.23,
117.29,34.23,
117.39,34.23,
117.5,34.23,
117.6,34.23,
117.7,34.23,
117.8,34.23,
117.9,34.23,
118.0,34.23,
118.1,34.23,
118.2,34.23,
118.3,34.23,
118.4,34.23,
118.5,34.23,
118.6,34.23,
118.7,34.23,
118.8,34.23,
118.9,34.23,
119.0,34.23,
119.1,34.23,
119.2,34.23,
119.3,34.23,
119.4,34.23,
119.51,34.23,
119.61,34.23,
119.71,34.23,
119.81,34.23,
119.91,34.23,
120.01,34.23,
120.11,34.23,
120.21,34.23,
120.31,34.23,
120.41,34.23,
120.51,34.23,
120.61,34.23,
120.71,34.23,
120.81,34.23,
120.91,34.23,
121.01,34.23,
121.11,34.23,
121.21,34.23,
121.31,34.23,
121.41,34.23,
121.52,34.23,
121.62,34.23,
121.72,34.23,
121.82,34.23,
121.92,34.23,
122.02,34.23,
122.12,34.23,
122.22,34.23,
122.32,34.23,
122.42,34.23,
114.48,34.31,
114.58,34.31,
114.68,34.31,
114.78,34.31,
114.88,34.31,
114.98,34.31,
115.08,34.31,
115.18,34.31,
115.28,34.31,
115.38,34.31,
115.49,34.31,
115.59,34.31,
115.69,34.31,
115.79,34.31,
115.89,34.31,
115.99,34.31,
116.09,34.31,
116.19,34.31,
116.29,34.31,
116.39,34.31,
116.49,34.31,
116.59,34.31,
116.69,34.31,
116.79,34.31,
116.89,34.31,
116.99,34.31,
117.09,34.31,
117.19,34.31,
117.29,34.31,
117.39,34.31,
117.5,34.31,
117.6,34.31,
117.7,34.31,
117.8,34.31,
117.9,34.31,
118.0,34.31,
118.1,34.31,
118.2,34.31,
118.3,34.31,
118.4,34.31,
118.5,34.31,
118.6,34.31,
118.7,34.31,
118.8,34.31,
118.9,34.31,
119.0,34.31,
119.1,34.31,
119.2,34.31,
119.3,34.31,
119.4,34.31,
119.51,34.31,
119.61,34.31,
119.71,34.31,
119.81,34.31,
119.91,34.31,
120.01,34.31,
120.11,34.31,
120.21,34.31,
120.31,34.31,
120.41,34.31,
120.51,34.31,
120.61,34.31,
120.71,34.31,
120.81,34.31,
120.91,34.31,
121.01,34.31,
121.11,34.31,
121.21,34.31,
121.31,34.31,
121.41,34.31,
121.52,34.31,
121.62,34.31,
121.72,34.31,
121.82,34.31,
121.92,34.31,
122.02,34.31,
122.12,34.31,
122.22,34.31,
122.32,34.31,
122.42,34.31,
114.48,34.39,
114.58,34.39,
114.68,34.39,
114.78,34.39,
114.88,34.39,
114.98,34.39,
115.08,34.39,
115.18,34.39,
115.28,34.39,
115.38,34.39,
115.49,34.39,
115.59,34.39,
115.69,34.39,
115.79,34.39,
115.89,34.39,
115.99,34.39,
116.09,34.39,
116.19,34.39,
116.29,34.39,
116.39,34.39,
116.49,34.39,
116.59,34.39,
116.69,34.39,
116.79,34.39,
116.89,34.39,
116.99,34.39,
117.09,34.39,
117.19,34.39,
117.29,34.39,
117.39,34.39,
117.5,34.39,
117.6,34.39,
117.7,34.39,
117.8,34.39,
117.9,34.39,
118.0,34.39,
118.1,34.39,
118.2,34.39,5.57
118.3,34.39,
118.4,34.39,
