lng,lat,temperature,wind_speed,wind_direction,start_lng,start_lat,end_lng,end_lat
118.2,34.39,5.57,-14.53,279.86,118.56,34.45,117.84,34.33
117.19,34.47,4.82,-4.94,280.58,117.31,34.49,117.07,34.45
118.2,34.47,5.75,-10.72,280.07,118.46,34.52,117.94,34.42
118.3,34.47,5.74,-12.32,280.06,118.6,34.52,118.0,34.42
118.4,34.47,5.71,-14.06,280.05,118.75,34.53,118.05,34.41
117.19,34.55,4.84,-2.87,280.86,117.26,34.56,117.12,34.54
117.29,34.55,5.0,-2.42,280.78,117.35,34.56,117.23,34.54
117.5,34.55,5.31,-2.09,280.63,117.55,34.56,117.45,34.54
117.6,34.55,5.46,-2.22,280.56,117.65,34.56,117.55,34.54
117.7,34.55,5.59,-2.56,280.5,117.76,34.56,117.64,34.54
118.2,34.55,5.93,-7.16,280.29,118.38,34.58,118.02,34.52
118.3,34.55,5.92,-8.6,280.27,118.51,34.59,118.09,34.51
118.4,34.55,5.9,-10.18,280.26,118.65,34.6,118.15,34.5
115.49,34.63,4.57,-7.18,282.15,115.67,34.67,115.31,34.59
115.59,34.63,4.55,-8.98,282.13,115.81,34.68,115.37,34.58
115.69,34.63,4.51,-10.28,282.11,115.94,34.68,115.44,34.58
115.79,34.63,4.46,-11.12,282.08,116.06,34.69,115.52,34.57
115.89,34.63,4.4,-11.53,282.04,116.17,34.69,115.61,34.57
115.99,34.63,4.34,-11.58,282.0,116.27,34.69,115.71,34.57
116.09,34.63,4.28,-11.31,281.95,116.37,34.69,115.81,34.57
116.19,34.63,4.23,-10.76,281.89,116.45,34.69,115.93,34.57
116.29,34.63,4.18,-10.0,281.83,116.53,34.68,116.05,34.58
117.19,34.63,4.82,-0.96,281.13,117.21,34.63,117.17,34.63
117.29,34.63,4.99,-0.39,281.05,117.3,34.63,117.28,34.63
117.39,34.63,5.17,-0.0,280.97,117.39,34.63,117.39,34.63
117.5,34.63,5.34,0.2,280.89,117.5,34.63,117.5,34.63
117.6,34.63,5.51,0.2,280.82,117.6,34.63,117.6,34.63
117.7,34.63,5.67,0.01,280.75,117.7,34.63,117.7,34.63
118.1,34.63,6.05,-2.72,280.54,118.17,34.64,118.03,34.62
118.2,34.63,6.08,-3.85,280.51,118.29,34.65,118.11,34.61
118.3,34.63,6.09,-5.13,280.48,118.43,34.65,118.17,34.61
118.4,34.63,6.07,-6.55,280.47,118.56,34.66,118.24,34.6
115.49,34.71,4.63,-5.98,282.45,115.64,34.74,115.34,34.68
115.59,34.71,4.61,-7.84,282.44,115.78,34.75,115.4,34.67
115.69,34.71,4.56,-9.17,282.41,115.91,34.76,115.47,34.66
115.79,34.71,4.5,-10.03,282.38,116.03,34.76,115.55,34.66
115.89,34.71,4.43,-10.47,282.35,116.15,34.77,115.63,34.65
115.99,34.71,4.36,-10.52,282.3,116.25,34.77,115.73,34.65
116.09,34.71,4.28,-10.24,282.26,116.34,34.76,115.84,34.66
116.19,34.71,4.21,-9.68,282.2,116.43,34.76,115.95,34.66
116.29,34.71,4.15,-8.89,282.14,116.51,34.76,116.07,34.66
116.39,34.71,4.11,-7.92,282.07,116.58,34.75,116.2,34.67
117.09,34.71,4.58,-0.05,281.5,117.09,34.71,117.09,34.71
